Date,Open,High,Low,Close*,Adj. close**,Volume
16-Jan-2019,105.26,106.26,104.96,105.38,103.84,"2,98,53,900"
15-Jan-2019,102.51,105.05,101.88,105.01,103.48,"3,15,87,600"
14-Jan-2019,101.90,102.87,101.26,102.05,100.56,"2,84,37,100"
11-Jan-2019,103.19,103.44,101.64,102.80,101.30,"2,83,14,200"
10-Jan-2019,103.22,103.75,102.38,103.60,102.09,"3,00,67,600"
09-Jan-2019,103.86,104.88,103.24,104.27,102.75,"3,22,80,800"
08-Jan-2019,103.04,103.97,101.71,102.80,101.30,"3,15,14,400"
07-Jan-2019,101.64,103.27,100.98,102.06,100.57,"3,56,56,100"
04-Jan-2019,99.72,102.51,98.93,101.93,100.44,"4,40,60,600"
03-Jan-2019,100.10,100.19,97.20,97.40,95.98,"4,25,79,100"
02-Jan-2019,99.55,101.75,98.94,101.12,99.65,"3,53,29,300"
31-Dec-2018,101.29,102.40,100.44,101.57,100.09,"3,31,73,800"
28-Dec-2018,102.09,102.41,99.52,100.39,98.93,"3,81,96,300"
27-Dec-2018,99.30,101.19,96.40,101.18,99.71,"4,94,98,500"
26-Dec-2018,95.14,100.69,93.96,100.56,99.09,"5,16,34,800"
24-Dec-2018,97.68,97.97,93.98,94.13,92.76,"4,39,35,200"
21-Dec-2018,101.63,103.00,97.46,98.23,96.80,"11,12,42,100"
20-Dec-2018,103.05,104.31,98.78,101.51,100.03,"7,03,34,200"
19-Dec-2018,103.65,106.88,101.35,103.69,102.18,"6,81,98,200"
18-Dec-2018,103.75,104.51,102.52,103.97,102.46,"4,93,19,200"
17-Dec-2018,105.41,105.80,101.71,102.89,101.39,"5,69,57,300"
14-Dec-2018,108.25,109.26,105.50,106.03,104.49,"4,70,43,100"
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
